Date,Type,Link
2021-08-12 14:21:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6828239832351875072
2021-08-12 14:21:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6831410882531135488
2021-08-10 13:15:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6830405697700720640
2021-08-10 13:14:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6829017071549054976
2021-08-10 13:14:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6830045369523605504
2021-08-10 03:27:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6830424667422015488
2021-08-08 12:51:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6829977117309104128
2021-08-07 17:01:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6829794937056428032
2021-08-07 04:47:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6829394508115955713
2021-08-06 17:16:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6828554937052528641
2021-08-06 17:08:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6829025773114966016
2021-08-02 15:52:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6827903779376123904
2021-08-01 18:45:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6826943414286786560
2021-07-31 05:40:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6826778878070145024
2021-07-29 14:34:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6826393847791132672
2021-07-25 07:22:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6824687282486878208
2021-07-21 03:48:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6822396204983296000
2021-07-10 10:05:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6819488583930441728
2021-07-06 16:49:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6817722015026434048
2021-07-05 07:08:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6815210267920617472
2021-07-01 13:58:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6816342817711939584
2021-06-22 18:39:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6812839351882526720
